Country,Year,Suicides number,Life expectancy,Adult Mortality,Infant deaths,Alcohol,Under-five deaths,HIV/AIDS,GDP,Population,Income composition of resources,Schooling
Albania,2000,54.0,72.6,11.0,1,3.66,1,0.1,1175.788981,38927.0,0.656,10.7
Albania,2001,119.0,73.6,14.0,1,4.25,1,0.1,1326.97339,36173.0,0.662,10.6
Albania,2002,133.0,73.3,15.0,1,3.73,1,0.1,1453.642777,3511.0,0.67,10.7
Albania,2003,124.0,72.8,18.0,1,4.29,1,0.1,189.681557,339616.0,0.674,10.7
Albania,2004,146.0,73.0,17.0,1,4.54,1,0.1,2416.588235,326939.0,0.681,10.9
Albania,2005,0.0,73.5,15.0,1,5.16,1,0.1,279.142931,311487.0,0.685,10.8
Albania,2006,0.0,74.2,99.0,1,5.31,1,0.1,35.1293,2992547.0,0.696,11.4
Albania,2007,124.0,75.9,9.0,1,5.58,1,0.1,363.13685,29717.0,0.703,11.6
Albania,2008,160.0,75.3,1.0,1,5.61,1,0.1,437.539647,2947314.0,0.713,12.0
Albania,2009,0.0,76.1,91.0,1,5.79,1,0.1,4114.136545,2927519.0,0.721,12.2
Albania,2010,96.0,76.2,91.0,1,5.28,1,0.1,494.358832,291321.0,0.725,12.5
Antigua and Barbuda,2000,2.0,73.6,156.0,0,7.27,0,0.1,9875.161736,75326.0,0.0,0.0
Antigua and Barbuda,2001,2.0,73.8,154.0,0,7.51,0,0.1,9358.154162,76497.0,0.0,0.0
Antigua and Barbuda,2002,0.0,74.0,153.0,0,7.21,0,0.1,9386.716452,77588.0,0.0,0.0
Antigua and Barbuda,2003,1.0,74.2,151.0,0,7.16,0,0.1,9739.82556,78658.0,0.0,0.0
Antigua and Barbuda,2004,2.0,74.4,149.0,0,7.28,0,0.1,1352.8374,79722.0,0.0,0.0
Antigua and Barbuda,2005,0.0,74.6,147.0,0,8.15,0,0.1,11371.93895,80809.0,0.0,0.0
Antigua and Barbuda,2006,0.0,74.8,145.0,0,8.93,0,0.1,12724.39377,81973.0,0.773,14.7
Antigua and Barbuda,2007,1.0,75.0,144.0,0,8.64,0,0.1,14252.29452,83131.0,0.781,14.5
Antigua and Barbuda,2008,0.0,75.2,142.0,0,8.27,0,0.1,1473.31923,84273.0,0.786,14.4
Antigua and Barbuda,2009,0.0,75.4,14.0,0,7.82,0,0.1,1312.46692,85405.0,0.788,14.2
Antigua and Barbuda,2012,0.0,75.9,134.0,0,8.18,0,0.2,12565.44197,88703.0,0.778,13.8
Antigua and Barbuda,2013,0.0,76.1,133.0,0,8.58,0,0.2,12224.86416,89779.0,0.781,13.9
Antigua and Barbuda,2014,0.0,76.2,131.0,0,8.56,0,0.2,12888.29667,90837.0,0.782,13.9
Antigua and Barbuda,2015,1.0,76.4,13.0,0,8.56,0,0.2,13566.9541,91889.0,0.784,13.9
Argentina,2000,2774.0,74.1,137.0,12,7.68,14,0.1,7669.273916,3757452.0,0.764,15.0
Argentina,2001,3132.0,74.0,138.0,12,7.76,13,0.1,717.694674,3747159.0,0.771,15.6
Argentina,2002,3162.0,74.1,138.0,12,7.81,13,0.1,2579.193168,3788937.0,0.776,16.3
Argentina,2003,3289.0,74.1,137.0,11,7.62,13,0.1,333.4376,3839379.0,0.77,16.4
Argentina,2004,3121.0,74.7,13.0,11,7.63,12,0.1,4251.574348,38728696.0,0.775,16.3
Argentina,2005,3058.0,74.9,127.0,11,7.53,12,0.1,576.883829,39145488.0,0.78,16.3
Argentina,2006,3108.0,75.2,127.0,11,7.75,12,0.1,5878.76127,3955889.0,0.782,16.1
Argentina,2007,2946.0,74.8,129.0,10,8.16,12,0.1,7193.61764,3997224.0,0.788,16.3
Argentina,2008,3059.0,75.4,126.0,10,8.41,11,0.1,8953.359275,4382389.0,0.792,16.3
Argentina,2009,2884.0,75.6,126.0,10,8.33,11,0.1,8161.36966,479947.0,0.794,16.5
Argentina,2010,2943.0,75.5,121.0,10,8.15,11,0.1,1276.265,41223889.0,0.802,16.8
Argentina,2011,2912.0,75.7,12.0,9,8.11,10,0.1,12726.9836,41656879.0,0.816,17.1
Argentina,2012,3248.0,75.9,12.0,9,8.35,10,0.1,12969.7712,4296739.0,0.822,17.2
Argentina,2013,2987.0,76.0,119.0,8,8.28,10,0.1,12976.63642,42539925.0,0.823,17.3
Argentina,2014,3231.0,76.2,118.0,8,7.93,9,0.1,12245.25645,42981515.0,0.825,17.3
Argentina,2015,3073.0,76.3,116.0,8,7.93,9,0.1,13467.1236,43417765.0,0.826,17.3
Armenia,2000,61.0,72.0,142.0,1,2.9,1,0.1,622.7427477,369588.0,0.639,11.2
Armenia,2001,60.0,72.6,141.0,1,2.86,1,0.1,694.435119,35655.0,0.644,11.1
Armenia,2002,74.0,72.6,134.0,1,2.86,1,0.1,783.261699,333897.0,0.645,10.8
Armenia,2003,59.0,72.7,134.0,1,3.03,1,0.1,93.1661567,31786.0,0.657,10.8
Armenia,2006,78.0,72.9,141.0,1,4.01,1,0.1,2158.299,29585.0,0.692,11.2
Armenia,2007,71.0,73.5,132.0,1,3.99,1,0.1,3138.8873,293356.0,0.707,11.7
Armenia,2008,63.0,73.2,14.0,1,3.96,1,0.1,41.26997,29822.0,0.721,12.3
Armenia,2009,53.0,73.3,137.0,1,3.96,1,0.1,2993.832531,2888584.0,0.725,11.9
Armenia,2010,73.0,73.5,132.0,1,4.23,1,0.1,3218.381655,2877311.0,0.72,12.3
Armenia,2011,67.0,73.9,128.0,1,4.09,1,0.1,3526.978143,2875581.0,0.729,12.7
Armenia,2012,79.0,74.4,121.0,1,3.89,1,0.1,3684.8481,2881922.0,0.732,12.7
Armenia,2013,67.0,74.4,123.0,1,3.79,1,0.1,3843.591213,289359.0,0.736,12.7
Armenia,2014,58.0,74.6,12.0,1,3.91,1,0.1,3994.712355,29622.0,0.739,12.7
Armenia,2015,74.0,74.8,118.0,1,3.91,1,0.1,369.654776,291695.0,0.741,12.7
Australia,2000,2391.0,79.5,78.0,1,10.17,2,0.1,2169.921,19153.0,0.897,20.4
Australia,2001,2458.0,79.9,75.0,1,9.53,2,0.1,19517.84168,19413.0,0.899,20.5
Australia,2002,2319.0,79.9,73.0,1,9.84,2,0.1,281.81763,196514.0,0.902,20.1
Australia,2003,2156.0,83.0,71.0,1,9.97,1,0.1,23465.38559,198954.0,0.905,20.6
Australia,2004,2114.0,86.0,69.0,1,9.84,1,0.1,3472.37977,21274.0,0.908,20.7
Australia,2006,2117.0,81.2,66.0,1,10.31,2,0.1,36118.28381,26979.0,0.915,20.3
Australia,2007,2229.0,81.3,66.0,1,10.56,2,0.1,4991.98289,28276.0,0.918,19.0
Australia,2008,2341.0,81.3,66.0,1,10.76,1,0.1,49664.6854,212492.0,0.921,19.1
Australia,2009,2337.0,81.7,66.0,1,10.62,1,0.1,42742.99898,216917.0,0.925,19.1
Australia,2010,2420.0,81.9,64.0,1,10.52,1,0.1,51874.848,223175.0,0.927,19.5
Australia,2011,2392.0,82.0,63.0,1,10.3,1,0.1,62245.129,223424.0,0.927,19.8
Australia,2012,2580.0,82.3,61.0,1,10.03,1,0.1,67677.63477,22728254.0,0.93,20.1
Australia,2013,2608.0,82.5,61.0,1,9.87,1,0.1,67792.3386,23117353.0,0.933,20.3
Australia,2014,2891.0,82.7,6.0,1,9.71,1,0.1,62214.6912,2346694.0,0.936,20.4
Australia,2015,3027.0,82.8,59.0,1,9.71,1,0.1,56554.3876,23789338.0,0.937,20.4
Austria,2000,1588.0,78.1,96.0,0,13.2,0,0.1,24517.26745,811566.0,0.833,15.4
Austria,2001,1489.0,78.6,92.0,0,12.4,0,0.1,24489.73553,842293.0,0.837,15.5
Austria,2002,1553.0,78.7,9.0,0,12.5,0,0.1,26351.37568,881957.0,0.847,16.1
Austria,2003,1456.0,78.8,88.0,0,12.2,0,0.1,3212.9355,8121423.0,0.837,14.7
Austria,2004,1422.0,79.3,86.0,0,12.1,0,0.1,36693.4262,8171966.0,0.841,14.7
Austria,2005,1399.0,79.4,85.0,0,12.4,0,0.1,38242.4252,8227829.0,0.848,14.9
Austria,2006,1297.0,79.8,81.0,0,12.4,0,0.1,443.99361,8268641.0,0.854,15.0
Austria,2007,1285.0,81.0,8.0,0,12.5,0,0.1,46586.6525,8295487.0,0.86,15.2
Austria,2008,1267.0,84.0,76.0,0,12.0,0,0.1,51386.37665,8321496.0,0.864,15.1
Austria,2009,1278.0,82.0,77.0,0,11.3,0,0.1,47654.18721,8343323.0,0.87,15.3
Austria,2010,1264.0,84.0,75.0,0,12.1,0,0.1,46657.629,836344.0,0.872,15.4
Austria,2011,1288.0,88.0,73.0,0,12.04,0,0.1,51126.74139,8391643.0,0.88,15.7
